Disease	Link	Source	MSHOld	MSH.Top	Gene	GeneScore	Rank	pval2	snp_id	pvalue	SNP.Trait.Cnt	snp.ld	r2	eqtl	rdb	Cat.rdb	eCat	AAEffect	AAScore	Gene.Trait.Cnt	OrphID	PPterm	Name	MSH	ensembl_id
Mean corpuscular hemoglobin	PUBMEDID:19862010	GWAS:A	erythrocyte indices	Diagnosis	PRDX2	3	3	1e-11	rs11085824	1e-11	1	rs2974750	0.878	no	yes	4	4		1	4	NA	erythrocyte indices	Erythrocyte Indices	Erythrocyte Indices	ENSG00000167815
Mean corpuscular hemoglobin	PUBMEDID:19862010	GWAS:A	erythrocyte indices	Diagnosis	RAD23A	2	9	1e-11	rs11085824	1e-11	1	rs2974752	0.72	no	no	4	4		1	2	NA	erythrocyte indices	Erythrocyte Indices	Erythrocyte Indices	ENSG00000179262
Mean corpuscular hemoglobin	PUBMEDID:19862010	GWAS:A	erythrocyte indices	Diagnosis	SLC17A1	2	27	4e-39	rs1408272	4e-39	1	rs17342717	0.511	no	no		9		1	2	NA	erythrocyte indices	Erythrocyte Indices	Erythrocyte Indices	ENSG00000124568
Mean corpuscular hemoglobin	PUBMEDID:19862010	GWAS:A	erythrocyte indices	Diagnosis	SLC17A3	5	25	4e-39	rs1408272	4e-39	1	rs1408272	1	no	yes	3a	3a		1	6	NA	erythrocyte indices	Erythrocyte Indices	Erythrocyte Indices	ENSG00000124564
Mean corpuscular hemoglobin	PUBMEDID:19862010	GWAS:A	erythrocyte indices	Diagnosis	SYCE2	4	11	1e-11	rs11085824	1e-11	1	rs1060218	0.938	no	no		9		1	2	NA	erythrocyte indices	Erythrocyte Indices	Erythrocyte Indices	ENSG00000161860
Mean corpuscular hemoglobin	PUBMEDID:19862010	GWAS:A	erythrocyte indices	Diagnosis	ZNF443	3	4	1e-11	rs11085824	1e-11	1	rs2974750	0.878	no	yes	4	4		1	2	NA	erythrocyte indices	Erythrocyte Indices	Erythrocyte Indices	ENSG00000180855
Mean corpuscular hemoglobin	PUBMEDID:19862010	GWAS:A	erythrocyte indices	Diagnosis	ZNF490	3	5	1e-11	rs11085824	1e-11	1	rs2974750	0.878	no	yes	4	4		1	2	NA	erythrocyte indices	Erythrocyte Indices	Erythrocyte Indices	ENSG00000188033
Mean corpuscular hemoglobin	PUBMEDID:19862010	GWAS:A	erythrocyte indices	Diagnosis	ZNF564	3	6	1e-11	rs11085824	1e-11	1	rs2974750	0.878	no	yes	4	4		1	2	NA	erythrocyte indices	Erythrocyte Indices	Erythrocyte Indices	ENSG00000249709
Mean corpuscular hemoglobin	PUBMEDID:19862010	GWAS:A	erythrocyte indices	Diagnosis	ZNF709	3	7	1e-11	rs11085824	1e-11	1	rs2974750	0.878	no	yes	4	4		1	2	NA	erythrocyte indices	Erythrocyte Indices	Erythrocyte Indices	ENSG00000242852
Mean corpuscular hemoglobin	PUBMEDID:19862010	GWAS:A	erythrocyte indices	Diagnosis	ZNF791	3	8	1e-11	rs11085824	1e-11	1	rs2974750	0.878	no	yes	4	4		1	2	NA	erythrocyte indices	Erythrocyte Indices	Erythrocyte Indices	ENSG00000173875
Mean corpuscular hemoglobin	PUBMEDID:23263863	GWAS:A	erythrocyte indices	Diagnosis	CHTF18	4	2	3e-17	rs1211375	3e-17	1	rs8051485	0.593	yes	no		2		1	4	NA	erythrocyte indices	Erythrocyte Indices	Erythrocyte Indices	ENSG00000127586
Mean corpuscular hemoglobin	PUBMEDID:23263863	GWAS:A	erythrocyte indices	Diagnosis	HBA1	2	5	3e-17	rs1211375	3e-17	1	rs2858942	0.617	no	no		9		1	4	NA	erythrocyte indices	Erythrocyte Indices	Erythrocyte Indices	ENSG00000206172
Mean corpuscular hemoglobin	PUBMEDID:23263863	GWAS:A	erythrocyte indices	Diagnosis	LUC7L	4	1	3e-17	rs1211375	3e-17	1	rs1211375	1	no	no		9		1	4	NA	erythrocyte indices	Erythrocyte Indices	Erythrocyte Indices	ENSG00000007392
Mean corpuscular hemoglobin	PUBMEDID:23263863	GWAS:A	erythrocyte indices	Diagnosis	NPRL3	4	1	5e-62	rs7203560	5e-62	1	rs7203560	1	no	no		9		1	6	NA	erythrocyte indices	Erythrocyte Indices	Erythrocyte Indices	ENSG00000103148
Mean corpuscular hemoglobin	PUBMEDID:23263863	GWAS:A	erythrocyte indices	Diagnosis	TMPRSS6	8	1	7e-19	rs855791	7e-19	1	rs855791	1	no	no		0	missense_variant	0.623291362500612	8	NA	erythrocyte indices	Erythrocyte Indices	Erythrocyte Indices	ENSG00000187045
Mean corpuscular hemoglobin	PUBMEDID:23263863	GWAS:A	erythrocyte indices	Diagnosis	WDR24	4	3	3e-17	rs1211375	3e-17	1	rs1203977	0.585	yes	no		2		1	4	NA	erythrocyte indices	Erythrocyte Indices	Erythrocyte Indices	ENSG00000127580
Mean corpuscular hemoglobin concentration	PUBMEDID:23263863	GWAS:A	erythrocyte indices	Diagnosis	RAB11FIP3	2	2	3e-11	rs2266928	3e-11	1	16-560099	0.536	no	no		9		1	2	NA	erythrocyte indices	Erythrocyte Indices	Erythrocyte Indices	ENSG00000090565
Mean corpuscular hemoglobin concentration	PUBMEDID:23263863	GWAS:A	erythrocyte indices	Diagnosis	SOLH	4	1	3e-11	rs2266928	3e-11	1	rs2266928	1	no	no		9		1	2	NA	erythrocyte indices	Erythrocyte Indices	Erythrocyte Indices	ENSG00000103326
Mean corpuscular volume	PUBMEDID:19862010	GWAS:A	erythrocyte indices	Diagnosis	AK3	5	1	3e-20	rs10758658	3e-20	1	rs17803780	0.916	no	yes	3a	3a		1	4	NA	erythrocyte indices	Erythrocyte Indices	Erythrocyte Indices	ENSG00000147853
Mean corpuscular volume	PUBMEDID:19862010	GWAS:A	erythrocyte indices	Diagnosis	BYSL	4	1	1e-31	rs9349205	1e-31	1	rs3806113	0.748	yes	no		2		1	4	NA	erythrocyte indices	Erythrocyte Indices	Erythrocyte Indices	ENSG00000112578
Mean corpuscular volume	PUBMEDID:19862010	GWAS:A	erythrocyte indices	Diagnosis	CCND3	4	3	1e-31	rs9349205	1e-31	1	rs9349205	1	no	no		9		1	4	NA	erythrocyte indices	Erythrocyte Indices	Erythrocyte Indices	ENSG00000112576
Mean corpuscular volume	PUBMEDID:19862010	GWAS:A	erythrocyte indices	Diagnosis	CDC37L1	5	2	3e-20	rs10758658	3e-20	1	rs17803780	0.916	no	yes	3a	3a		1	4	NA	erythrocyte indices	Erythrocyte Indices	Erythrocyte Indices	ENSG00000106993
Mean corpuscular volume	PUBMEDID:19862010	GWAS:A	erythrocyte indices	Diagnosis	CEP57L1	2	2	4e-10	rs9374080	4e-10	1	rs351720	0.51	no	yes	4	4		1	2	NA	erythrocyte indices	Erythrocyte Indices	Erythrocyte Indices	ENSG00000183137
Mean corpuscular volume	PUBMEDID:19862010	GWAS:A	erythrocyte indices	Diagnosis	DDC	5	1	5e-13	rs12718597	5e-13	1	rs12718597	1	no	yes	3a	3a		1	2	NA	erythrocyte indices	Erythrocyte Indices	Erythrocyte Indices	ENSG00000132437
Mean corpuscular volume	PUBMEDID:19862010	GWAS:A	erythrocyte indices	Diagnosis	DNASE2	3	3	2e-12	rs7255045	2e-12	1	rs2418568	0.816	no	no		9		1	2	NA	erythrocyte indices	Erythrocyte Indices	Erythrocyte Indices	ENSG00000105612
Mean corpuscular volume	PUBMEDID:19862010	GWAS:A	erythrocyte indices	Diagnosis	FAM21C	4	2	1e-10	rs11239550	1e-10	1	rs10900229	0.618	yes	no		2		1	2	NA	erythrocyte indices	Erythrocyte Indices	Erythrocyte Indices	ENSG00000172661
Mean corpuscular volume	PUBMEDID:19862010	GWAS:A	erythrocyte indices	Diagnosis	FIGNL1	5	2	5e-13	rs12718597	5e-13	1	rs12718597	1	no	yes	3a	3a		1	2	NA	erythrocyte indices	Erythrocyte Indices	Erythrocyte Indices	ENSG00000132436
Mean corpuscular volume	PUBMEDID:19862010	GWAS:A	erythrocyte indices	Diagnosis	FRS3	2	7	1e-31	rs9349205	1e-31	1	rs28360509	0.574	no	no		9		1	4	NA	erythrocyte indices	Erythrocyte Indices	Erythrocyte Indices	ENSG00000137218
Mean corpuscular volume	PUBMEDID:19862010	GWAS:A	erythrocyte indices	Diagnosis	GRB10	5	3	5e-13	rs12718597	5e-13	1	rs12718597	1	no	yes	3a	3a		1	2	NA	erythrocyte indices	Erythrocyte Indices	Erythrocyte Indices	ENSG00000106070
Mean corpuscular volume	PUBMEDID:19862010	GWAS:A	erythrocyte indices	Diagnosis	HBQ1	5	1	2e-12	rs7189020	2e-12	1	rs11248914	0.755	yes	no		2		1	2	NA	erythrocyte indices	Erythrocyte Indices	Erythrocyte Indices	ENSG00000086506
Mean corpuscular volume	PUBMEDID:19862010	GWAS:A	erythrocyte indices	Diagnosis	IKZF1	5	4	5e-13	rs12718597	5e-13	1	rs12718597	1	no	yes	3a	3a		1	2	NA	erythrocyte indices	Erythrocyte Indices	Erythrocyte Indices	ENSG00000185811
Mean corpuscular volume	PUBMEDID:19862010	GWAS:A	erythrocyte indices	Diagnosis	ITFG3	4	2	2e-12	rs7189020	2e-12	1	rs7189020	1	no	no		9		1	8	NA	erythrocyte indices	Erythrocyte Indices	Erythrocyte Indices	ENSG00000167930
Mean corpuscular volume	PUBMEDID:19862010	GWAS:A	erythrocyte indices	Diagnosis	KCTD17	3	2	3e-41	rs2413450	3e-41	1	rs760719	0.85	no	no		9		1	8	NA	erythrocyte indices	Erythrocyte Indices	Erythrocyte Indices	ENSG00000100379
Mean corpuscular volume	PUBMEDID:19862010	GWAS:A	erythrocyte indices	Diagnosis	LRRC16A	2	27	1e-46	rs1800562	1e-46	1	rs75865451	0.517	no	no		9		1	4	NA	erythrocyte indices	Erythrocyte Indices	Erythrocyte Indices	ENSG00000079691
Mean corpuscular volume	PUBMEDID:19862010	GWAS:A	erythrocyte indices	Diagnosis	MARCH8	4	1	1e-10	rs11239550	1e-10	1	rs11239550	1	no	no		9		1	2	NA	erythrocyte indices	Erythrocyte Indices	Erythrocyte Indices	ENSG00000165406
Mean corpuscular volume	PUBMEDID:19862010	GWAS:A	erythrocyte indices	Diagnosis	MAST1	3	2	2e-12	rs7255045	2e-12	1	rs4614850	0.866	no	no		9		1	2	NA	erythrocyte indices	Erythrocyte Indices	Erythrocyte Indices	ENSG00000105613
Mean corpuscular volume	PUBMEDID:19862010	GWAS:A	erythrocyte indices	Diagnosis	MED20	2	4	1e-31	rs9349205	1e-31	1	rs3806113	0.748	no	no		9		1	4	NA	erythrocyte indices	Erythrocyte Indices	Erythrocyte Indices	ENSG00000124641
Mean corpuscular volume	PUBMEDID:19862010	GWAS:A	erythrocyte indices	Diagnosis	MICAL1	6	1	4e-10	rs9374080	4e-10	1	rs9374080	1	yes	no		2		1	2	NA	erythrocyte indices	Erythrocyte Indices	Erythrocyte Indices	ENSG00000135596
Mean corpuscular volume	PUBMEDID:19862010	GWAS:A	erythrocyte indices	Diagnosis	MUC4	6	1	8e-14	rs9859260	8e-14	1	rs3804139	0.992	no	yes	2b	2b		1	2	NA	erythrocyte indices	Erythrocyte Indices	Erythrocyte Indices	ENSG00000145113
Mean corpuscular volume	PUBMEDID:19862010	GWAS:A	erythrocyte indices	Diagnosis	NCAPH2	4	3	1e-15	rs131794	1e-15	1	rs131813	0.949	no	no		9		1	2	NA	erythrocyte indices	Erythrocyte Indices	Erythrocyte Indices	ENSG00000025770
Mean corpuscular volume	PUBMEDID:19862010	GWAS:A	erythrocyte indices	Diagnosis	ODF3B	4	2	1e-15	rs131794	1e-15	1	rs131794	1	no	no		9		1	2	NA	erythrocyte indices	Erythrocyte Indices	Erythrocyte Indices	ENSG00000177989
Mean corpuscular volume	PUBMEDID:19862010	GWAS:A	erythrocyte indices	Diagnosis	PPP6R2	3	5	1e-15	rs131794	1e-15	1	rs470118	0.555	no	yes	3a	3a		1	2	NA	erythrocyte indices	Erythrocyte Indices	Erythrocyte Indices	ENSG00000100239
Mean corpuscular volume	PUBMEDID:19862010	GWAS:A	erythrocyte indices	Diagnosis	PRICKLE4	2	6	1e-31	rs9349205	1e-31	1	rs34713377	0.715	no	no		9		1	4	NA	erythrocyte indices	Erythrocyte Indices	Erythrocyte Indices	ENSG00000278224
Mean corpuscular volume	PUBMEDID:19862010	GWAS:A	erythrocyte indices	Diagnosis	RCL1	4	3	3e-20	rs10758658	3e-20	1	rs10758658	1	no	no		9		1	4	NA	erythrocyte indices	Erythrocyte Indices	Erythrocyte Indices	ENSG00000120158
Mean corpuscular volume	PUBMEDID:19862010	GWAS:A	erythrocyte indices	Diagnosis	RNF168	4	2	8e-14	rs9859260	8e-14	1	rs13072608	0.984	no	yes	4	4		1	2	NA	erythrocyte indices	Erythrocyte Indices	Erythrocyte Indices	ENSG00000163961
Mean corpuscular volume	PUBMEDID:19862010	GWAS:A	erythrocyte indices	Diagnosis	RTBDN	4	1	2e-12	rs7255045	2e-12	1	rs10419408	0.97	no	no		9		1	2	NA	erythrocyte indices	Erythrocyte Indices	Erythrocyte Indices	ENSG00000132026
Mean corpuscular volume	PUBMEDID:19862010	GWAS:A	erythrocyte indices	Diagnosis	SCO2	4	4	1e-15	rs131794	1e-15	1	rs131813	0.949	no	no		9		1	2	NA	erythrocyte indices	Erythrocyte Indices	Erythrocyte Indices	ENSG00000130489
Mean corpuscular volume	PUBMEDID:19862010	GWAS:A	erythrocyte indices	Diagnosis	SLC17A2	2	26	1e-46	rs1800562	1e-46	1	rs80215559	0.73	no	no		9		1	6	NA	erythrocyte indices	Erythrocyte Indices	Erythrocyte Indices	ENSG00000112337
Mean corpuscular volume	PUBMEDID:19862010	GWAS:A	erythrocyte indices	Diagnosis	TFRC	4	4	8e-14	rs9859260	8e-14	1	rs9859260	1	no	no		9		1	4	NA	erythrocyte indices	Erythrocyte Indices	Erythrocyte Indices	ENSG00000072274
Mean corpuscular volume	PUBMEDID:19862010	GWAS:A	erythrocyte indices	Diagnosis	TNK2	4	3	8e-14	rs9859260	8e-14	1	rs13072608	0.984	no	yes	4	4		1	2	NA	erythrocyte indices	Erythrocyte Indices	Erythrocyte Indices	ENSG00000061938
Mean corpuscular volume	PUBMEDID:19862010	GWAS:A	erythrocyte indices	Diagnosis	TOMM6	2	2	1e-31	rs9349205	1e-31	1	rs9471653	0.715	no	yes	4	4		1	4	NA	erythrocyte indices	Erythrocyte Indices	Erythrocyte Indices	ENSG00000214736
Mean corpuscular volume	PUBMEDID:19862010	GWAS:A	erythrocyte indices	Diagnosis	TYMP	4	1	1e-15	rs131794	1e-15	1	rs131805	0.939	no	no	4	4		1	2	NA	erythrocyte indices	Erythrocyte Indices	Erythrocyte Indices	ENSG00000025708
Mean corpuscular volume	PUBMEDID:19862010	GWAS:A	erythrocyte indices	Diagnosis	USP49	2	5	1e-31	rs9349205	1e-31	1	rs9394837	0.739	no	no		9		1	4	NA	erythrocyte indices	Erythrocyte Indices	Erythrocyte Indices	ENSG00000164663
Mean corpuscular volume	PUBMEDID:19862010	GWAS:A	erythrocyte indices	Diagnosis	ZPBP	5	5	5e-13	rs12718597	5e-13	1	rs12718597	1	no	yes	3a	3a		1	2	NA	erythrocyte indices	Erythrocyte Indices	Erythrocyte Indices	ENSG00000042813
Mean corpuscular volume	PUBMEDID:23263863	GWAS:A	erythrocyte indices	Diagnosis	FUNDC2	4	1	4e-10	rs5987027	4e-10	1	rs5987027	1	no	yes	4	4		1	2	NA	erythrocyte indices	Erythrocyte Indices	Erythrocyte Indices	ENSG00000165775
Mean corpuscular volume	PUBMEDID:23263863	GWAS:A	erythrocyte indices	Diagnosis	PLXNA3	4	2	4e-10	rs5987027	4e-10	1	rs5987027	1	no	yes	4	4		1	2	NA	erythrocyte indices	Erythrocyte Indices	Erythrocyte Indices	ENSG00000130827
Mean corpuscular volume	PUBMEDID:23263863	GWAS:A	erythrocyte indices	Diagnosis	RPL10	4	3	4e-10	rs5987027	4e-10	1	rs5987027	1	no	yes	4	4		1	2	NA	erythrocyte indices	Erythrocyte Indices	Erythrocyte Indices	ENSG00000147403
Mean platelet volume	PUBMEDID:19110211	GWAS:A	platelet count	Diagnosis	CORO6	4	1	7e-28	rs2138852	7e-28	3	rs8064434	0.962	no	yes	4	4		1	4	NA	platelet count	Platelet Count	Platelet Count	ENSG00000167549
Mean platelet volume	PUBMEDID:19110211	GWAS:A	platelet count	Diagnosis	KDM2B	4	1	7e-48	rs7961894	7e-48	3	rs7961894	1	no	yes	4	4		1	4	NA	platelet count	Platelet Count	Platelet Count	ENSG00000089094
Mean platelet volume	PUBMEDID:19110211	GWAS:A	platelet count	Diagnosis	LRRC43	4	2	7e-48	rs7961894	7e-48	3	rs7961894	1	no	yes	4	4		1	4	NA	platelet count	Platelet Count	Platelet Count	ENSG00000158113
Mean platelet volume	PUBMEDID:19110211	GWAS:A	platelet count	Diagnosis	PIPOX	4	2	7e-28	rs2138852	7e-28	3	rs8064434	0.962	no	yes	4	4		1	4	NA	platelet count	Platelet Count	Platelet Count	ENSG00000179761
Mean platelet volume	PUBMEDID:19110211	GWAS:A	platelet count	Diagnosis	SEZ6	4	3	7e-28	rs2138852	7e-28	3	rs8064434	0.962	no	yes	4	4		1	4	NA	platelet count	Platelet Count	Platelet Count	ENSG00000063015
Mean platelet volume	PUBMEDID:19110211	GWAS:A	platelet count	Diagnosis	TAOK1	4	4	7e-28	rs2138852	7e-28	3	rs7211006	0.977	no	no		9		1	4	NA	platelet count	Platelet Count	Platelet Count	ENSG00000160551
Mean platelet volume	PUBMEDID:19110211	GWAS:A	platelet count	Diagnosis	WDR66	4	3	7e-48	rs7961894	7e-48	3	rs7961894	1	no	no	4	4		1	4	NA	platelet count	Platelet Count	Platelet Count	ENSG00000158023
Mean platelet volume	PUBMEDID:19820697	GWAS:A	platelet count	Diagnosis	ATHL1	2	14	1e-14	rs11602954	1e-14	2	rs111707881	0.513	no	yes	4	4		1	3	NA	platelet count	Platelet Count	Platelet Count	ENSG00000142102
Mean platelet volume	PUBMEDID:19820697	GWAS:A	platelet count	Diagnosis	CDK18	2	3	1e-20	rs1668873	1e-20	2	rs61822619	0.739	no	yes	4	4		1	3	NA	platelet count	Platelet Count	Platelet Count	ENSG00000117266
Mean platelet volume	PUBMEDID:19820697	GWAS:A	platelet count	Diagnosis	CNTN2	3	1	1e-20	rs1668873	1e-20	2	rs7368327	0.897	no	yes	4	4		1	3	NA	platelet count	Platelet Count	Platelet Count	ENSG00000184144
Mean platelet volume	PUBMEDID:19820697	GWAS:A	platelet count	Diagnosis	DNM3	4	1	2e-14	rs10914144	2e-14	2	rs10914144	1	no	no		9		1	3	NA	platelet count	Platelet Count	Platelet Count	ENSG00000197959
Mean platelet volume	PUBMEDID:19820697	GWAS:A	platelet count	Diagnosis	DSTYK	3	5	1e-20	rs1668873	1e-20	2	rs12123922	0.76	no	no		9		1	3	NA	platelet count	Platelet Count	Platelet Count	ENSG00000133059
Mean platelet volume	PUBMEDID:19820697	GWAS:A	platelet count	Diagnosis	EHD3	4	1	3e-11	rs647316	3e-11	2	rs647316	1	no	no		9		1	3	NA	platelet count	Platelet Count	Platelet Count	ENSG00000013016
Mean platelet volume	PUBMEDID:19820697	GWAS:A	platelet count	Diagnosis	IFITM1	2	15	1e-14	rs11602954	1e-14	2	rs111707881	0.513	no	yes	4	4		1	3	NA	platelet count	Platelet Count	Platelet Count	ENSG00000185885
Mean platelet volume	PUBMEDID:19820697	GWAS:A	platelet count	Diagnosis	JMJD1C	4	1	3e-21	rs2393967	3e-21	2	rs2393967	1	no	no		9		1	5	NA	platelet count	Platelet Count	Platelet Count	ENSG00000171988
Mean platelet volume	PUBMEDID:19820697	GWAS:A	platelet count	Diagnosis	ODF3	4	12	1e-14	rs11602954	1e-14	2	rs11604127	0.907	no	no		9		1	5	NA	platelet count	Platelet Count	Platelet Count	ENSG00000177947
Mean platelet volume	PUBMEDID:19820697	GWAS:A	platelet count	Diagnosis	RBBP5	3	6	1e-20	rs1668873	1e-20	2	rs61822568	0.754	no	no		9		1	3	NA	platelet count	Platelet Count	Platelet Count	ENSG00000117222
Mean platelet volume	PUBMEDID:19820697	GWAS:A	platelet count	Diagnosis	RIC8A	4	10	1e-14	rs11602954	1e-14	2	rs72878032	0.966	no	no		9		1	5	NA	platelet count	Platelet Count	Platelet Count	ENSG00000177963
Mean platelet volume	PUBMEDID:19820697	GWAS:A	platelet count	Diagnosis	SCGB1C1	2	16	1e-14	rs11602954	1e-14	2	rs75322339	0.603	no	no		9		1	3	NA	platelet count	Platelet Count	Platelet Count	ENSG00000188076
Mean platelet volume	PUBMEDID:19820697	GWAS:A	platelet count	Diagnosis	SLC45A3	2	2	1e-20	rs1668873	1e-20	2	rs6692706	0.745	no	yes	4	4		1	3	NA	platelet count	Platelet Count	Platelet Count	ENSG00000158715
Mean platelet volume	PUBMEDID:19820697	GWAS:A	platelet count	Diagnosis	TMCC2	4	4	1e-20	rs1668873	1e-20	2	rs1668873	1	no	no		9		1	3	NA	platelet count	Platelet Count	Platelet Count	ENSG00000133069
Mean platelet volume	PUBMEDID:19820697	GWAS:A	platelet count	Diagnosis	TMEM81	2	7	1e-20	rs1668873	1e-20	2	rs7520752	0.722	no	no		9		1	3	NA	platelet count	Platelet Count	Platelet Count	ENSG00000174529
Mean platelet volume	PUBMEDID:22139419	GWAS:A	platelet count	Diagnosis	ANKMY1	4	2	2e-11	rs4305276	2e-11	1	rs4305276	1	no	no		9		1	2	NA	platelet count	Platelet Count	Platelet Count	ENSG00000144504
Mean platelet volume	PUBMEDID:22139419	GWAS:A	platelet count	Diagnosis	AP2B1	4	1	4e-12	rs16971217	4e-12	1	rs16971217	1	no	no		9		1	2	NA	platelet count	Platelet Count	Platelet Count	ENSG00000006125
Mean platelet volume	PUBMEDID:22139419	GWAS:A	platelet count	Diagnosis	ATP5B	4	9	7e-14	rs2950390	7e-14	1	rs12229457	0.984	no	no		9		1	2	NA	platelet count	Platelet Count	Platelet Count	ENSG00000110955
Mean platelet volume	PUBMEDID:22139419	GWAS:A	platelet count	Diagnosis	BAZ2A	6	1	7e-14	rs2950390	7e-14	1	rs2950390	1	yes	no		2		1	2	NA	platelet count	Platelet Count	Platelet Count	ENSG00000076108
Mean platelet volume	PUBMEDID:22139419	GWAS:A	platelet count	Diagnosis	BET1L	5	3	2e-15	rs17655730	2e-15	1	rs72882960	0.968	no	yes	3a	3a		1	5	NA	platelet count	Platelet Count	Platelet Count	ENSG00000177951
Mean platelet volume	PUBMEDID:22139419	GWAS:A	platelet count	Diagnosis	BLOC1S1	6	7	7e-14	rs2950390	7e-14	1	rs2255074	0.928	yes	no		2		1	2	NA	platelet count	Platelet Count	Platelet Count	ENSG00000135441
Mean platelet volume	PUBMEDID:22139419	GWAS:A	platelet count	Diagnosis	BRF1	4	4	3e-11	rs3000073	3e-11	1	rs3000073	1	no	no		9		1	2	NA	platelet count	Platelet Count	Platelet Count	ENSG00000185024
Mean platelet volume	PUBMEDID:22139419	GWAS:A	platelet count	Diagnosis	BTBD6	4	3	3e-11	rs3000073	3e-11	1	rs2735818	0.982	no	yes	4	4		1	2	NA	platelet count	Platelet Count	Platelet Count	ENSG00000184887
Mean platelet volume	PUBMEDID:22139419	GWAS:A	platelet count	Diagnosis	CBX5	2	4	2e-14	rs10876550	2e-14	1	rs7964426	0.662	no	no		9		1	2	NA	platelet count	Platelet Count	Platelet Count	ENSG00000094916
Mean platelet volume	PUBMEDID:22139419	GWAS:A	platelet count	Diagnosis	CD9	5	3	2e-21	rs1558324	2e-21	1	rs10744700	0.661	yes	no	1f	1f		1	2	NA	platelet count	Platelet Count	Platelet Count	ENSG00000010278
Mean platelet volume	PUBMEDID:22139419	GWAS:A	platelet count	Diagnosis	COPZ1	3	2	2e-14	rs10876550	2e-14	1	rs4326844	0.889	no	no		9		1	2	NA	platelet count	Platelet Count	Platelet Count	ENSG00000111481
Mean platelet volume	PUBMEDID:22139419	GWAS:A	platelet count	Diagnosis	CRIP2	4	1	3e-11	rs3000073	3e-11	1	rs2816627	0.991	no	yes	4	4		1	2	NA	platelet count	Platelet Count	Platelet Count	ENSG00000182809
Mean platelet volume	PUBMEDID:22139419	GWAS:A	platelet count	Diagnosis	CS	6	2	7e-14	rs2950390	7e-14	1	rs2950390	1	yes	no		2		1	2	NA	platelet count	Platelet Count	Platelet Count	ENSG00000062485
Mean platelet volume	PUBMEDID:22139419	GWAS:A	platelet count	Diagnosis	DOCK8	4	1	4e-12	rs10813766	4e-12	1	rs10813766	1	no	no		9		1	2	NA	platelet count	Platelet Count	Platelet Count	ENSG00000107099
Mean platelet volume	PUBMEDID:22139419	GWAS:A	platelet count	Diagnosis	EPS8L2	3	11	2e-15	rs17655730	2e-15	1	rs60884509	0.781	no	yes	4	4		1	5	NA	platelet count	Platelet Count	Platelet Count	ENSG00000177106
Mean platelet volume	PUBMEDID:22139419	GWAS:A	platelet count	Diagnosis	ERGIC2	2	2	6e-16	rs2015599	6e-16	1	rs57803026	0.633	no	no		9		1	2	NA	platelet count	Platelet Count	Platelet Count	ENSG00000087502
Mean platelet volume	PUBMEDID:22139419	GWAS:A	platelet count	Diagnosis	F2R	4	2	1e-15	rs2227831	1e-15	1	rs2227831	1	no	no		9		1	2	NA	platelet count	Platelet Count	Platelet Count	ENSG00000181104
Mean platelet volume	PUBMEDID:22139419	GWAS:A	platelet count	Diagnosis	F7	4	3	8e-12	rs7317038	8e-12	1	rs9549753	0.614	no	yes	2b	2b		1	2	NA	platelet count	Platelet Count	Platelet Count	ENSG00000057593
Mean platelet volume	PUBMEDID:22139419	GWAS:A	platelet count	Diagnosis	FAR2	4	1	6e-16	rs2015599	6e-16	1	rs2015599	1	no	no		9		1	2	NA	platelet count	Platelet Count	Platelet Count	ENSG00000064763
Mean platelet volume	PUBMEDID:22139419	GWAS:A	platelet count	Diagnosis	GPR84	6	1	2e-14	rs10876550	2e-14	1	rs10876550	1	yes	no		2		1	2	NA	platelet count	Platelet Count	Platelet Count	ENSG00000139572
Mean platelet volume	PUBMEDID:22139419	GWAS:A	platelet count	Diagnosis	GRTP1	6	1	8e-12	rs7317038	8e-12	1	rs7317038	1	yes	no		2		1	2	NA	platelet count	Platelet Count	Platelet Count	ENSG00000139835
Mean platelet volume	PUBMEDID:22139419	GWAS:A	platelet count	Diagnosis	HNRNPA1	2	5	2e-14	rs10876550	2e-14	1	rs7967622	0.645	no	no		9		1	2	NA	platelet count	Platelet Count	Platelet Count	ENSG00000135486
Mean platelet volume	PUBMEDID:22139419	GWAS:A	platelet count	Diagnosis	HSD17B6	3	12	7e-14	rs2950390	7e-14	1	rs7967600	0.763	no	no		9		1	2	NA	platelet count	Platelet Count	Platelet Count	ENSG00000025423
Mean platelet volume	PUBMEDID:22139419	GWAS:A	platelet count	Diagnosis	IFFO1	3	1	2e-21	rs1558324	2e-21	1	rs10774410	0.887	no	yes	4	4		1	2	NA	platelet count	Platelet Count	Platelet Count	ENSG00000010295
Mean platelet volume	PUBMEDID:22139419	GWAS:A	platelet count	Diagnosis	IFITM3	5	4	2e-15	rs17655730	2e-15	1	rs72882960	0.968	no	yes	3a	3a		1	5	NA	platelet count	Platelet Count	Platelet Count	ENSG00000142089
Mean platelet volume	PUBMEDID:22139419	GWAS:A	platelet count	Diagnosis	IQGAP2	8	1	1e-15	rs2227831	1e-15	1	rs34592828	1	no	no		0	missense_variant	0.259810886286806	2	NA	platelet count	Platelet Count	Platelet Count	ENSG00000145703
Mean platelet volume	PUBMEDID:22139419	GWAS:A	platelet count	Diagnosis	IRF7	5	5	2e-15	rs17655730	2e-15	1	rs72882960	0.968	no	yes	3a	3a		1	5	NA	platelet count	Platelet Count	Platelet Count	ENSG00000185507
